modo;turno;latencia_s;desenlace
GENERAL;1;132.6;muere
GENERAL;2;9.1;util
GENERAL;3;11.0;util
GENERAL;4;17.2;util
GENERAL;5;18.6;util
GENERAL;6;17.9;util
GENERAL;7;15.3;util
GENERAL;8;17.6;util
GENERAL;9;16.7;util
GENERAL;10;13.8;util
GENERAL;11;17.6;util
GENERAL;12;14.4;util
GENERAL;13;10.9;util
GENERAL;14;8.1;util
GENERAL;15;11.1;util
HEMOGRAMA;1;120.5;muere
HEMOGRAMA;2;17.9;util
HEMOGRAMA;3;13.8;util
HEMOGRAMA;4;13.4;util
HEMOGRAMA;5;51.4;util
HEMOGRAMA;6;17.5;util
HEMOGRAMA;7;14.7;util
HEMOGRAMA;8;12.7;util
HEMOGRAMA;9;18.1;util
HEMOGRAMA;10;17.9;util
HEMOGRAMA;11;28.8;util
HEMOGRAMA;12;18.2;util
HEMOGRAMA;13;14.4;util
HEMOGRAMA;14;31.2;util
HEMOGRAMA;15;17.3;util
HISTORICO;1;16.4;util
HISTORICO;2;28.2;util
HISTORICO;3;32.0;util
HISTORICO;4;22.4;util
HISTORICO;5;42.2;util
HISTORICO;6;43.1;util
HISTORICO;7;17.3;util
HISTORICO;8;20.5;util
HISTORICO;9;20.4;util
HISTORICO;10;17.8;util
HISTORICO;11;26.4;util
HISTORICO;12;52.1;util
HISTORICO;13;59.4;util
HISTORICO;14;16.5;util
HISTORICO;15;24.2;util
