id_caso;latencia_L4_s;latencia_A100_s
GEN-01;22.061;136.7
GEN-02;20.93;29.9
GEN-03;22.969;25.9
GEN-04;21.772;9.0
GEN-05;19.816;8.6
GEN-06;65.895;24.6
GEN-07;124.021;39.9
GEN-08;40.658;26.2
GEN-09;30.531;22.4
GEN-10;39.4;13.4
GEN-11;34.985;19.4
GEN-12;128.835;45.2
GEN-13;21.702;16.5
GEN-14;22.051;9.8
GEN-16;19.137;16.6
GEN-17;22.662;9.4
SEL-01;67.307;23.0
SEL-02;31.701;13.7
SEL-03;181.764;72.5
SEL-04;46.859;19.7
SEL-05;58.588;30.4
SEL-06;91.745;17.3
SEL-07;84.849;21.2
SEL-08;77.387;40.1
SEL-09;106.917;40.0
SEL-10;50.935;13.8
SEL-11;102.131;44.6
SEL-12;49.424;13.7
SEL-13;90.319;18.0
SEL-14;33.585;16.9
SEL-15;30.762;15.4
SEL-16;75.244;19.4
SEL-17;57.83;21.3
SEL-18;107.368;46.5
SEL-20;85.756;46.4
SEL-22;68.484;12.5
SEL-23;90.501;36.8
SEL-24;134.473;20.2
HIS-01;42.031;15.9
HIS-02;212.315;26.8
HIS-03;89.014;70.0
HIS-04;24.871;11.1
HIS-05;90.551;42.0
HIS-06;95.359;18.5
HIS-07;98.796;45.8
HIS-08;47.11;24.3
HIS-09;46.064;70.5
HIS-10;34.535;19.5
HIS-F01;59.543;15.5
HIS-F02;112.668;26.3
HIS-F03;95.963;43.1
HIS-F04;46.473;23.0
HIS-F05;94.871;17.4
HIS-F06;39.249;21.5
HIS-F07;101.971;25.2
MT-A-1;30.768;16.8
MT-A-2;32.104;56.9
MT-A-4;40.916;45.0
MT-B-1;28.484;19.0
MT-B-2;38.51;25.3
MT-B-3;150.883;60.6
MT-B-4;40.012;19.3
MT-H-1;106.59;19.7
MT-H-2;97.499;19.1
