case_id,scope,origen,t_s,evento,etapa,detalle
GEN-01,general,cliente_sse,0.134,start,,
GEN-01,general,cliente_sse,0.134,context_ready,,
GEN-01,general,cliente_sse,0.135,retrieval_completed,,
GEN-01,general,cliente_sse,0.135,generation_started,,
GEN-01,general,cliente_sse,15.136,heartbeat,,
GEN-01,general,cliente_sse,22.038,status,validating,
GEN-01,general,cliente_sse,22.06,final,,
GEN-01,general,cliente_sse,22.061,done,,
GEN-01,general,backend,2026-08-07T23:49:13.891750150Z,llm_chat.turn_guard,,
GEN-01,general,backend,2026-08-07T23:49:13.893160780Z,llm_chat.routed,,conversational_generation/out_of_scope_general
GEN-01,general,backend,2026-08-07T23:49:13.894425330Z,llm_chat.clinical_claim_scope,,
GEN-01,general,backend,2026-08-07T23:49:13.894552120Z,llm_chat.response_plan,,
GEN-01,general,backend,2026-08-07T23:49:13.898688740Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-01,general,backend,2026-08-07T23:49:13.899599539Z,llm_chat.queue_acquired,,
GEN-01,general,backend,2026-08-07T23:49:35.786448338Z,llm_chat.perf,,
GEN-01,general,backend,2026-08-07T23:49:35.801546037Z,llm_chat.validation,,valid/ok/
GEN-01,general,backend,2026-08-07T23:49:35.801595167Z,llm_chat.candidate_selected,,
GEN-01,general,backend,2026-08-07T23:49:35.826228766Z,llm_chat.completed,,
GEN-02,general,cliente_sse,0.142,start,,
GEN-02,general,cliente_sse,0.143,context_ready,,
GEN-02,general,cliente_sse,0.144,retrieval_completed,,
GEN-02,general,cliente_sse,0.144,generation_started,,
GEN-02,general,cliente_sse,15.144,heartbeat,,
GEN-02,general,cliente_sse,20.928,status,validating,
GEN-02,general,cliente_sse,20.929,final,,
GEN-02,general,cliente_sse,20.929,done,,
GEN-02,general,backend,2026-08-07T23:49:38.962001217Z,llm_chat.turn_guard,,
GEN-02,general,backend,2026-08-07T23:49:38.963475287Z,llm_chat.routed,,conversational_generation/out_of_scope_general
GEN-02,general,backend,2026-08-07T23:49:38.964812077Z,llm_chat.clinical_claim_scope,,
GEN-02,general,backend,2026-08-07T23:49:38.964965047Z,llm_chat.response_plan,,
GEN-02,general,backend,2026-08-07T23:49:38.968860306Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-02,general,backend,2026-08-07T23:49:38.969572666Z,llm_chat.queue_acquired,,
GEN-02,general,backend,2026-08-07T23:49:59.712687014Z,llm_chat.perf,,
GEN-02,general,backend,2026-08-07T23:49:59.727287934Z,llm_chat.validation,,valid/ok/
GEN-02,general,backend,2026-08-07T23:49:59.727325314Z,llm_chat.candidate_selected,,
GEN-02,general,backend,2026-08-07T23:49:59.749221453Z,llm_chat.completed,,
GEN-03,general,cliente_sse,0.143,start,,
GEN-03,general,cliente_sse,0.143,context_ready,,
GEN-03,general,cliente_sse,0.144,retrieval_completed,,
GEN-03,general,cliente_sse,0.144,generation_started,,
GEN-03,general,cliente_sse,15.145,heartbeat,,
GEN-03,general,cliente_sse,22.944,status,validating,
GEN-03,general,cliente_sse,22.967,final,,
GEN-03,general,cliente_sse,22.968,done,,
GEN-03,general,backend,2026-08-07T23:50:02.892873264Z,llm_chat.turn_guard,,
GEN-03,general,backend,2026-08-07T23:50:02.894487964Z,llm_chat.routed,,conversational_generation/identity
GEN-03,general,backend,2026-08-07T23:50:02.895855824Z,llm_chat.clinical_claim_scope,,
GEN-03,general,backend,2026-08-07T23:50:02.896046814Z,llm_chat.response_plan,,
GEN-03,general,backend,2026-08-07T23:50:02.900586614Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-03,general,backend,2026-08-07T23:50:02.901030384Z,llm_chat.queue_acquired,,
GEN-03,general,backend,2026-08-07T23:50:25.684847782Z,llm_chat.perf,,
GEN-03,general,backend,2026-08-07T23:50:25.701605681Z,llm_chat.validation,,valid/ok/
GEN-03,general,backend,2026-08-07T23:50:25.701649870Z,llm_chat.candidate_selected,,
GEN-03,general,backend,2026-08-07T23:50:25.725682409Z,llm_chat.completed,,
GEN-04,general,cliente_sse,0.141,start,,
GEN-04,general,cliente_sse,0.141,context_ready,,
GEN-04,general,cliente_sse,0.141,retrieval_completed,,
GEN-04,general,cliente_sse,0.142,generation_started,,
GEN-04,general,cliente_sse,15.144,heartbeat,,
GEN-04,general,cliente_sse,21.752,status,validating,
GEN-04,general,cliente_sse,21.772,final,,
GEN-04,general,cliente_sse,21.772,done,,
GEN-04,general,backend,2026-08-07T23:50:28.860361044Z,llm_chat.turn_guard,,
GEN-04,general,backend,2026-08-07T23:50:28.861870424Z,llm_chat.routed,,conversational_generation/out_of_scope_general
GEN-04,general,backend,2026-08-07T23:50:28.863093604Z,llm_chat.clinical_claim_scope,,
GEN-04,general,backend,2026-08-07T23:50:28.863255494Z,llm_chat.response_plan,,
GEN-04,general,backend,2026-08-07T23:50:28.867629794Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-04,general,backend,2026-08-07T23:50:28.868041313Z,llm_chat.queue_acquired,,
GEN-04,general,backend,2026-08-07T23:50:50.465378955Z,llm_chat.perf,,
GEN-04,general,backend,2026-08-07T23:50:50.478751014Z,llm_chat.validation,,valid/ok/
GEN-04,general,backend,2026-08-07T23:50:50.478804864Z,llm_chat.candidate_selected,,
GEN-04,general,backend,2026-08-07T23:50:50.499256523Z,llm_chat.completed,,
GEN-05,general,cliente_sse,0.137,start,,
GEN-05,general,cliente_sse,0.138,context_ready,,
GEN-05,general,cliente_sse,0.138,retrieval_completed,,
GEN-05,general,cliente_sse,0.138,generation_started,,
GEN-05,general,cliente_sse,15.14,heartbeat,,
GEN-05,general,cliente_sse,19.793,status,validating,
GEN-05,general,cliente_sse,19.815,final,,
GEN-05,general,cliente_sse,19.816,done,,
GEN-05,general,backend,2026-08-07T23:50:53.629937183Z,llm_chat.turn_guard,,
GEN-05,general,backend,2026-08-07T23:50:53.631176703Z,llm_chat.routed,,conversational_generation/out_of_scope_general
GEN-05,general,backend,2026-08-07T23:50:53.632456473Z,llm_chat.clinical_claim_scope,,
GEN-05,general,backend,2026-08-07T23:50:53.632675863Z,llm_chat.response_plan,,
GEN-05,general,backend,2026-08-07T23:50:53.636669053Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-05,general,backend,2026-08-07T23:50:53.637215612Z,llm_chat.queue_acquired,,
GEN-05,general,backend,2026-08-07T23:51:13.277444047Z,llm_chat.perf,,
GEN-05,general,backend,2026-08-07T23:51:13.291644426Z,llm_chat.validation,,valid/ok/
GEN-05,general,backend,2026-08-07T23:51:13.291688326Z,llm_chat.candidate_selected,,
GEN-05,general,backend,2026-08-07T23:51:13.314326994Z,llm_chat.completed,,
GEN-06,general,cliente_sse,0.181,start,,
GEN-06,general,cliente_sse,0.182,context_ready,,
GEN-06,general,cliente_sse,0.183,status,retrieving,
GEN-06,general,cliente_sse,0.739,retrieval_completed,,
GEN-06,general,cliente_sse,0.739,generation_started,,
GEN-06,general,cliente_sse,15.74,heartbeat,,
GEN-06,general,cliente_sse,30.741,heartbeat,,
GEN-06,general,cliente_sse,45.742,heartbeat,,
GEN-06,general,cliente_sse,60.742,heartbeat,,
GEN-06,general,cliente_sse,65.875,status,validating,
GEN-06,general,cliente_sse,65.894,final,,
GEN-06,general,cliente_sse,65.895,done,,
GEN-06,general,backend,2026-08-07T23:51:16.494164922Z,llm_chat.turn_guard,,
GEN-06,general,backend,2026-08-07T23:51:16.495735242Z,llm_chat.routed,,rag_generation/allowed_cbc_general
GEN-06,general,backend,2026-08-07T23:51:16.497008881Z,llm_chat.clinical_claim_scope,,
GEN-06,general,backend,2026-08-07T23:51:16.497097521Z,llm_chat.response_plan,,
GEN-06,general,backend,2026-08-07T23:51:17.054133879Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-06,general,backend,2026-08-07T23:51:17.054458549Z,llm_chat.queue_acquired,,
GEN-06,general,backend,2026-08-07T23:52:22.165276281Z,llm_chat.perf,,
GEN-06,general,backend,2026-08-07T23:52:22.189071450Z,llm_chat.validation,,valid/ok/
GEN-06,general,backend,2026-08-07T23:52:22.189115690Z,llm_chat.candidate_selected,,
GEN-06,general,backend,2026-08-07T23:52:22.209712539Z,llm_chat.completed,,
GEN-07,general,cliente_sse,0.132,start,,
GEN-07,general,cliente_sse,0.133,context_ready,,
GEN-07,general,cliente_sse,0.133,status,retrieving,
