,mu_idexx,mu_dap,sd_idexx,sd_dap,effect_size,level
WBC,14.95458940011648,7.791352805534204,11.057323660981288,2.4122121114464545,0.6478273417293408,MODERADO
Neutrophils,10.654519510774607,5.197041602465331,9.557834773083341,1.9789921404472086,0.5709952135924722,MODERADO
Lymphocytes,2.4432964472917877,1.735161787365177,3.1895513878874198,0.8355095029075884,0.22201700916116057,leve
Monocytes,1.3742224810716366,0.3800385208012327,1.2251598226984401,0.25018744602067505,0.8114728715713351,SEVERO
Platelets,347.9452533488643,286.793235972329,158.3724862817858,101.87924224475907,0.3861277852729031,MODERADO
HCT,47.1085032032615,52.42943889315911,12.777913837340492,5.606501009256007,0.4164166198970595,MODERADO
HGB,16.555445544554455,17.522828593389697,4.279897177619458,1.9183630589947114,0.22602950689279988,leve
MCHC,35.33849737914968,33.42690238278248,4.271724790620472,1.0052813712386328,0.4474995674152592,MODERADO
RDW,17.576179382644145,12.164488854727132,3.4989286767694305,0.6667687896285689,1.5466707173256729,SEVERO
MPV,11.651892836342457,12.26979246733282,1.8312066013799797,3.585145590334382,0.3374275901950619,MODERADO
MCH,25.178159580663948,24.638893159108378,3.0752843606438347,1.1508483674043244,0.17535497799212163,leve
MCV,71.27909143855562,73.74227517294389,5.3778228021413375,3.423034831844629,0.45802619843655906,MODERADO
