label,rank,feature,mean_abs_shap,is_raw_cbc
QC_REQUIERE_FROTIS,1,Lymphocytes,1.16977,True
QC_REQUIERE_FROTIS,2,RDW,0.45313,True
QC_REQUIERE_FROTIS,3,Eosinophils,0.37565,True
PATRON_INFLAMATORIO,1,Monocytes,3.93277,True
PATRON_INFLAMATORIO,2,Monocytes_pct,0.58392,False
PATRON_INFLAMATORIO,3,WBC,0.45372,True
PATRON_LEUCOGRAMA_ESTRES,1,Monocytes,2.56514,True
PATRON_LEUCOGRAMA_ESTRES,2,Lymphocytes,1.04374,True
PATRON_LEUCOGRAMA_ESTRES,3,Lymphocytes_pct,0.8589,False
PATRON_ANEMIA_NO_REGENERATIVA,1,HGB,3.16817,True
PATRON_ANEMIA_NO_REGENERATIVA,2,HCT,2.02841,True
PATRON_ANEMIA_NO_REGENERATIVA,3,Reticulocytes,0.90012,False
PATRON_HEMOLISIS_MCHC,1,MCH,3.06889,True
PATRON_HEMOLISIS_MCHC,2,MCHC,1.98445,True
PATRON_HEMOLISIS_MCHC,3,Reticulocytes,0.57953,False
PATRON_POLICITEMIA,1,HCT,4.49918,True
PATRON_POLICITEMIA,2,Reticulocytes,1.16829,False
PATRON_POLICITEMIA,3,RBC,0.96525,True
PATRON_ANEMIA_REGENERATIVA,1,Reticulocytes,3.33997,False
PATRON_ANEMIA_REGENERATIVA,2,Reticulocytes_pct,1.5051,False
PATRON_ANEMIA_REGENERATIVA,3,HCT,1.4284,True
