Variable,Fuente,N,Cobertura_%,Media,DE,Mediana,Min,Max
RBC,IDEXX,2450,99.8,6.57,1.73,6.86,0.14,13.36
RBC,DAP,1301,100.0,7.12,0.78,7.12,4.15,10.03
WBC,IDEXX,2429,99.0,15.13,10.8,12.7,0.34,143.85
WBC,DAP,1301,100.0,7.79,2.41,7.45,2.85,25.45
Platelets,IDEXX,2454,100.0,332.81,158.97,324.0,1.0,972.0
Platelets,DAP,1301,100.0,286.79,101.92,269.0,20.0,1026.0
HGB,IDEXX,2446,99.7,16.48,4.29,17.2,1.0,27.4
HGB,DAP,1301,100.0,17.52,1.92,17.6,10.2,24.2
HCT,IDEXX,2451,99.9,47.13,12.88,49.2,0.0,81.3
HCT,DAP,1301,100.0,52.43,5.61,52.7,31.0,71.7
MCV,IDEXX,2454,100.0,71.66,5.31,72.1,7.8,98.1
MCV,DAP,1301,100.0,73.74,3.42,73.8,58.2,87.6
MCH,IDEXX,2448,99.8,25.3,3.55,25.2,6.4,90.5
MCH,DAP,1301,100.0,24.64,1.15,24.7,19.3,28.2
MCHC,IDEXX,2439,99.4,35.31,5.04,35.0,26.9,153.2
MCHC,DAP,1301,100.0,33.43,1.01,33.5,27.7,41.0
RDW,IDEXX,2400,97.8,17.52,3.36,17.5,1.1,79.6
RDW,DAP,1301,100.0,12.16,0.67,12.1,10.5,16.3
Neutrophils,IDEXX,2429,99.0,10.77,9.27,8.45,0.03,131.34
Neutrophils,DAP,1298,99.8,5.2,1.98,4.86,0.0,19.34
Lymphocytes,IDEXX,2429,99.0,2.44,3.18,1.9,0.0,65.69
Lymphocytes,DAP,1298,99.8,1.74,0.84,1.58,0.09,8.07
Monocytes,IDEXX,2429,99.0,1.42,1.23,1.1,0.0,21.24
Monocytes,DAP,1298,99.8,0.38,0.25,0.33,0.0,2.03
Eosinophils,IDEXX,2429,99.0,0.48,0.63,0.28,0.0,6.94
Eosinophils,DAP,1298,99.8,0.48,0.52,0.39,0.0,14.25
