Etiqueta,Versión,Threshold,TP,FP,FN,Recall,Precisión,F2
QC_REQUIERE_FROTIS,Antes,0.6362,85,19,34,0.714,0.817,0.733
QC_REQUIERE_FROTIS,Después,0.6362,85,19,34,0.714,0.817,0.733
PATRON_INFLAMATORIO,Antes,0.5467,110,31,13,0.894,0.78,0.869
PATRON_INFLAMATORIO,Después,0.5467,110,31,13,0.894,0.78,0.869
PATRON_LEUCOGRAMA_ESTRES,Antes,0.3907,79,63,10,0.888,0.556,0.793
PATRON_LEUCOGRAMA_ESTRES,Después,0.9,75,57,14,0.843,0.568,0.768
PATRON_ANEMIA_NO_REGENERATIVA,Antes,0.7931,27,7,23,0.54,0.794,0.577
PATRON_ANEMIA_NO_REGENERATIVA,Después,0.7931,27,7,23,0.54,0.794,0.577
PATRON_HEMOLISIS_MCHC,Antes,0.7721,16,17,14,0.533,0.485,0.523
PATRON_HEMOLISIS_MCHC,Después,0.7721,16,17,14,0.533,0.485,0.523
PATRON_POLICITEMIA,Antes,0.9951,16,2,36,0.308,0.889,0.354
PATRON_POLICITEMIA,Después,0.988,18,2,34,0.346,0.9,0.395
PATRON_ANEMIA_REGENERATIVA,Antes,0.3795,11,6,8,0.579,0.647,0.591
PATRON_ANEMIA_REGENERATIVA,Después,0.3795,11,6,8,0.579,0.647,0.591
