feature,mean_abs_shap
HCT,1.5316967
Monocytes,0.92015713
MCH,0.61048466
HGB,0.53122413
Lymphocytes,0.3966837
RBC,0.29734188
MCHC,0.24433196
PDW,0.23109351
MPV,0.19922794
Eosinophils,0.18472765
WBC,0.17319436
MCV,0.1723733
Monocytes_pct,0.17098586
Platelets,0.16326807
ratio_MLR,0.1538742
RDW,0.13836895
ratio_PLR,0.12000465
Neutrophils,0.10720359
age_years,0.09950018
ratio_MPV_PLT,0.07975822
Neutrophils_pct,0.07209154
flag_lymphopenia,0.059085023
Lymphocytes_pct,0.055276647
ratio_NLR,0.041892894
Basophils,0.036996666
flag_thrombocytopenia,0.005276154
flag_macro_platelets,0.0051339366
flag_anemia,0.0029930535
flag_leukocytosis,0.0018718132
flag_microcytic,0.0018367209
pattern_stress_leukogram,0.0013452996
flag_neutrophilia,0.0009290257
flag_neutropenia,0.0007987441
flag_thrombocytopenia_severe,0.0004045493
flag_lymphocytosis,0.0003807099
flag_macrocytic,0.00024323337
flag_leukopenia,0.00021247554
flag_hypochromic,0.0
