version,split,label,cat,n_pos,n_neg,thr,prauc,f1,prec,rec,spec,tp,fp,fn,tn
v1,val,QC_REQUIERE_FROTIS,QC Maquina,130,238,0.5224,0.9155,0.8333,0.9091,0.7692,0.958,100,10,30,228
v1,val,PATRON_INFLAMATORIO,Patron Clinico,175,193,0.519,0.9881,0.9771,0.9771,0.9771,0.9793,171,4,4,189
v1,val,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,167,201,0.561,0.9817,0.9362,0.9506,0.9222,0.9602,154,8,13,193
v1,val,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,47,321,0.3751,0.7608,0.7664,0.6833,0.8723,0.9408,41,19,6,302
v1,val,PATRON_HEMOLISIS_MCHC,Patron Clinico,80,288,0.7074,0.9852,0.962,0.9744,0.95,0.9931,76,2,4,286
v1,val,PATRON_POLICITEMIA,Patron Clinico,27,341,0.9956,1.0,1.0,1.0,1.0,1.0,27,0,0,341
v1,val,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,15,353,0.6424,0.5034,0.5714,0.5,0.6667,0.9717,10,10,5,343
v3,val,QC_REQUIERE_FROTIS,QC Maquina,130,238,0.6362,0.9103,0.8255,0.9238,0.7462,0.9664,97,8,33,230
v3,val,PATRON_INFLAMATORIO,Patron Clinico,175,193,0.5467,0.9857,0.9771,0.9771,0.9771,0.9793,171,4,4,189
v3,val,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,167,201,0.3907,0.9811,0.9341,0.9341,0.9341,0.9453,156,11,11,190
v3,val,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,47,321,0.7931,0.9697,0.9462,0.9565,0.9362,0.9938,44,2,3,319
v3,val,PATRON_HEMOLISIS_MCHC,Patron Clinico,80,288,0.7721,0.9834,0.9682,0.987,0.95,0.9965,76,1,4,287
v3,val,PATRON_POLICITEMIA,Patron Clinico,27,341,0.9951,1.0,1.0,1.0,1.0,1.0,27,0,0,341
v3,val,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,15,353,0.3795,0.9419,0.875,0.8235,0.9333,0.9915,14,3,1,350
v3c,val,QC_REQUIERE_FROTIS,QC Maquina,130,238,0.6362,0.9103,0.8255,0.9238,0.7462,0.9664,97,8,33,230
v3c,val,PATRON_INFLAMATORIO,Patron Clinico,175,193,0.5467,0.9857,0.9742,0.977,0.9714,0.9793,170,4,5,189
v3c,val,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,167,201,0.9,0.9811,0.861,0.9922,0.7605,0.995,127,1,40,200
v3c,val,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,47,321,0.7931,0.9697,0.9348,0.9556,0.9149,0.9938,43,2,4,319
v3c,val,PATRON_HEMOLISIS_MCHC,Patron Clinico,80,288,0.7721,0.9834,0.9682,0.987,0.95,0.9965,76,1,4,287
v3c,val,PATRON_POLICITEMIA,Patron Clinico,27,341,0.988,1.0,1.0,1.0,1.0,1.0,27,0,0,341
v3c,val,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,15,353,0.3795,0.9419,0.875,0.8235,0.9333,0.9915,14,3,1,350
v4,val,QC_REQUIERE_FROTIS,QC Maquina,130,238,0.28,0.9125,0.8,0.7467,0.8615,0.8403,112,38,18,200
v4,val,PATRON_INFLAMATORIO,Patron Clinico,175,193,0.43,0.9865,0.9744,0.9716,0.9771,0.9741,171,5,4,188
v4,val,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,167,201,0.63,0.982,0.9301,0.9444,0.9162,0.9552,153,9,14,192
v4,val,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,47,321,0.41,0.9657,0.9362,0.9362,0.9362,0.9907,44,3,3,318
v4,val,PATRON_HEMOLISIS_MCHC,Patron Clinico,80,288,0.46,0.9761,0.95,0.95,0.95,0.9861,76,4,4,284
v4,val,PATRON_POLICITEMIA,Patron Clinico,27,341,0.9,1.0,1.0,1.0,1.0,1.0,27,0,0,341
v4,val,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,15,353,0.415,0.9539,0.9091,0.8333,1.0,0.9915,15,3,0,350
v1,test,QC_REQUIERE_FROTIS,QC Maquina,136,233,0.5224,0.8503,0.7586,0.9167,0.6471,0.9657,88,8,48,225
v1,test,PATRON_INFLAMATORIO,Patron Clinico,198,171,0.519,0.9937,0.985,0.9752,0.9949,0.9708,197,5,1,166
v1,test,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,172,197,0.561,0.9875,0.9623,0.9595,0.9651,0.9645,166,7,6,190
v1,test,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,42,327,0.3751,0.8717,0.814,0.7955,0.8333,0.9725,35,9,7,318
v1,test,PATRON_HEMOLISIS_MCHC,Patron Clinico,48,321,0.7074,0.9936,0.9362,0.9565,0.9167,0.9938,44,2,4,319
v1,test,PATRON_POLICITEMIA,Patron Clinico,32,337,0.9956,1.0,0.9153,1.0,0.8438,1.0,27,0,5,337
v1,test,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,6,363,0.6424,0.1762,0.1667,0.1111,0.3333,0.9559,2,16,4,347
v3,test,QC_REQUIERE_FROTIS,QC Maquina,136,233,0.6362,0.8605,0.7111,0.8989,0.5882,0.9614,80,9,56,224
v3,test,PATRON_INFLAMATORIO,Patron Clinico,198,171,0.5467,0.9936,0.9875,0.9801,0.9949,0.9766,197,4,1,167
v3,test,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,172,197,0.3907,0.9861,0.9716,0.95,0.9942,0.9543,171,9,1,188
v3,test,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,42,327,0.7931,0.9853,0.9882,0.9767,1.0,0.9969,42,1,0,326
v3,test,PATRON_HEMOLISIS_MCHC,Patron Clinico,48,321,0.7721,0.9924,0.9362,0.9565,0.9167,0.9938,44,2,4,319
