split,label,n_pos,n_neg,prauc_v3,prauc_v4,f1_v3,f1_v4,prec_v3,prec_v4,rec_v3,rec_v4,tp_v3,fp_v3,fn_v3,tn_v3,tp_v4,fp_v4,fn_v4,tn_v4,thr_v3,thr_v4
val,QC_REQUIERE_FROTIS,130,238,0.9103,0.9125,0.8255,0.8,0.9238,0.7586,0.7462,0.8462,97,8,33,230,110,35,20,203,0.6362,0.3
val,PATRON_INFLAMATORIO,175,193,0.9857,0.9865,0.9771,0.9744,0.9771,0.9716,0.9771,0.9771,171,4,4,189,171,5,4,188,0.5467,0.641
val,PATRON_LEUCOGRAMA_ESTRES,167,201,0.9811,0.982,0.9341,0.9204,0.9341,0.907,0.9341,0.9341,156,11,11,190,156,16,11,185,0.3907,0.3
val,PATRON_ANEMIA_NO_REGENERATIVA,47,321,0.9697,0.9657,0.9462,0.9362,0.9565,0.9362,0.9362,0.9362,44,2,3,319,44,3,3,318,0.7931,0.4557
val,PATRON_HEMOLISIS_MCHC,80,288,0.9834,0.9761,0.9682,0.956,0.987,0.962,0.95,0.95,76,1,4,287,76,3,4,285,0.7721,0.7143
val,PATRON_POLICITEMIA,27,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,0,0,341,27,0,0,341,0.9951,0.9
val,PATRON_ANEMIA_REGENERATIVA,15,353,0.9419,0.9539,0.875,0.9091,0.8235,0.8333,0.9333,1.0,14,3,1,350,15,3,0,350,0.3795,0.4789
test,QC_REQUIERE_FROTIS,136,233,0.8605,0.8455,0.7111,0.7294,0.8989,0.7815,0.5882,0.6838,80,9,56,224,93,26,43,207,0.6362,0.3
test,PATRON_INFLAMATORIO,198,171,0.9936,0.9931,0.9875,0.9875,0.9801,0.9801,0.9949,0.9949,197,4,1,167,197,4,1,167,0.5467,0.641
test,PATRON_LEUCOGRAMA_ESTRES,172,197,0.9861,0.9833,0.9716,0.9661,0.95,0.9396,0.9942,0.9942,171,9,1,188,171,11,1,186,0.3907,0.3
test,PATRON_ANEMIA_NO_REGENERATIVA,42,327,0.9853,0.9721,0.9882,0.9882,0.9767,0.9767,1.0,1.0,42,1,0,326,42,1,0,326,0.7931,0.4557
test,PATRON_HEMOLISIS_MCHC,48,321,0.9924,0.9875,0.9362,0.9375,0.9565,0.9375,0.9167,0.9375,44,2,4,319,45,3,3,318,0.7721,0.7143
test,PATRON_POLICITEMIA,32,337,1.0,1.0,0.9333,1.0,1.0,1.0,0.875,1.0,28,0,4,337,32,0,0,337,0.9951,0.9
test,PATRON_ANEMIA_REGENERATIVA,6,363,0.886,0.8889,0.5,0.5,0.3571,0.3571,0.8333,0.8333,5,9,1,354,5,9,1,354,0.3795,0.4789
