id_validacion,batch,caso,estado_modelo,respuesta_modelo_QC_REQUIERE_FROTIS,respuesta_modelo_PATRON_INFLAMATORIO,respuesta_modelo_PATRON_LEUCOGRAMA_ESTRES,respuesta_modelo_PATRON_ANEMIA_NO_REGENERATIVA,respuesta_modelo_PATRON_HEMOLISIS_MCHC,respuesta_modelo_PATRON_POLICITEMIA,respuesta_modelo_PATRON_ANEMIA_REGENERATIVA,respuesta_modelo_QC_AGREGADOS_PLAQUETARIOS
VC-S4-B037-C01,batch_37,1,partial_imputation,0,1,1,0,1,0,0,0
VC-S4-B037-C02,batch_37,2,partial_imputation,0,0,0,0,1,0,0,0
VC-S4-B037-C03,batch_37,3,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B037-C04,batch_37,4,partial_imputation,1,0,1,1,1,0,0,0
VC-S4-B037-C05,batch_37,5,partial_imputation,1,0,1,0,0,0,0,0
VC-S4-B037-C06,batch_37,6,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B037-C07,batch_37,7,partial_imputation,0,0,0,0,0,1,0,0
VC-S4-B037-C08,batch_37,8,partial_imputation,1,1,1,0,0,0,0,0
VC-S4-B038-C01,batch_38,1,partial_imputation,1,0,1,0,1,0,0,0
VC-S4-B038-C02,batch_38,2,partial_imputation,0,1,1,0,0,1,0,0
VC-S4-B038-C03,batch_38,3,partial_imputation,1,0,1,1,0,0,0,0
VC-S4-B038-C04,batch_38,4,partial_imputation,1,1,1,0,0,0,0,0
VC-S4-B038-C05,batch_38,5,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B038-C06,batch_38,6,partial_imputation,1,1,0,0,0,0,0,0
VC-S4-B038-C07,batch_38,7,partial_imputation,1,0,0,0,0,0,0,0
VC-S4-B038-C08,batch_38,8,partial_imputation,1,0,0,1,0,0,0,0
VC-S4-B038-C09,batch_38,9,partial_imputation,1,0,0,0,0,0,0,0
VC-S4-B038-C10,batch_38,10,partial_imputation,1,0,0,0,0,1,0,0
VC-S4-B039-C01,batch_39,1,partial_imputation,0,1,1,0,0,1,0,0
VC-S4-B039-C02,batch_39,2,partial_imputation,0,0,0,0,1,0,0,0
VC-S4-B039-C03,batch_39,3,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B039-C04,batch_39,4,partial_imputation,0,0,0,1,0,0,0,0
VC-S4-B039-C05,batch_39,5,partial_imputation,0,1,1,0,0,0,0,0
VC-S4-B039-C06,batch_39,6,partial_imputation,1,1,0,0,1,0,1,1
VC-S4-B039-C07,batch_39,7,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B039-C08,batch_39,8,partial_imputation,0,0,0,0,1,0,0,0
VC-S4-B039-C09,batch_39,9,partial_imputation,1,1,1,0,0,0,0,0
VC-S4-B039-C10,batch_39,10,partial_imputation,0,1,1,1,0,0,0,0
VC-S4-B040-C01,batch_40,1,partial_imputation,1,0,1,0,0,1,0,0
VC-S4-B040-C02,batch_40,2,partial_imputation,0,1,0,0,0,0,0,0
VC-S4-B040-C03,batch_40,3,partial_imputation,0,0,0,0,0,0,0,1
VC-S4-B040-C04,batch_40,4,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B040-C05,batch_40,5,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B040-C06,batch_40,6,partial_imputation,0,0,0,0,1,1,0,0
VC-S4-B040-C07,batch_40,7,partial_imputation,1,1,1,0,0,0,0,0
VC-S4-B040-C08,batch_40,8,partial_imputation,0,1,1,0,0,0,0,0
VC-S4-B041-C01,batch_41,1,partial_imputation,1,1,1,0,1,1,0,0
VC-S4-B041-C02,batch_41,2,error,0,0,0,0,0,0,0,0
VC-S4-B041-C03,batch_41,3,partial_imputation,0,1,0,1,1,0,0,0
VC-S4-B041-C04,batch_41,4,partial_imputation,0,1,1,0,0,0,0,0
VC-S4-B041-C05,batch_41,5,partial_imputation,0,1,0,0,0,0,0,0
VC-S4-B041-C06,batch_41,6,partial_imputation,0,0,0,0,0,0,0,0
VC-S4-B041-C07,batch_41,7,partial_imputation,0,1,1,0,0,0,0,0
VC-S4-B041-C08,batch_41,8,partial_imputation,1,0,0,0,0,0,0,0
VC-S4-B041-C09,batch_41,9,partial_imputation,0,1,0,1,0,0,0,0
VC-S4-B041-C10,batch_41,10,partial_imputation,0,0,0,0,0,0,0,0
