q,item,media,sd,favorable,neutral,n1,n2,n3,n4,n5
3,Q3. Pantalla principal clara,4.363636363636363,0.780307306514826,0.8181818181818182,0.18181818181818182,0,0,8,12,24
4,Q4. Sé dónde subir/analizar,4.2727272727272725,0.7883936085671918,0.7954545454545454,0.20454545454545456,0,0,9,14,21
5,"Q5. Diseño ordenado, no recargado",4.363636363636363,0.7182313254004377,0.8636363636363636,0.13636363636363635,0,0,6,16,22
6,Q6. Subir/iniciar fue fácil,4.363636363636363,0.8377963645268319,0.7727272727272727,0.22727272727272727,0,0,10,8,26
7,Q7. Pantalla de revisión clara,4.409090909090909,0.7870516610266035,0.8181818181818182,0.18181818181818182,0,0,8,10,26
8,Q8. Entendí revisar antes de confirmar,4.431818181818182,0.6954244905000938,0.8863636363636364,0.11363636363636363,0,0,5,15,24
9,Q9. Resultados fáciles de entender,4.5227272727272725,0.7920722413504783,0.8181818181818182,0.18181818181818182,0,0,8,5,31
10,Q10. Lenguaje claro para no experto,4.454545454545454,0.7299106493437194,0.8636363636363636,0.13636363636363635,0,0,6,12,26
11,Q11. Deja claro que no reemplaza al veterinario,4.363636363636363,0.7499119046217669,0.8409090909090909,0.1590909090909091,0,0,7,14,23
12,Q12. Entendí qué aporta un hemograma,4.454545454545454,0.761105238408163,0.8409090909090909,0.1590909090909091,0,0,7,10,27
13,Q13. Ayuda/diccionario/asistente útiles,4.295454545454546,0.823479443116021,0.7727272727272727,0.22727272727272727,0,0,10,11,23
14,Q14. Lo usaría en torno a la consulta,4.2272727272727275,0.8314637237366783,0.75,0.25,0,0,11,12,21
15,Q15. Útil para dueños de mascotas,4.295454545454546,0.8234794431160211,0.7727272727272727,0.22727272727272727,0,0,10,11,23
