batch,semana,archivo_original,casos_detectados,fecha_revision_sugerida
batch_37,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_100.pdf,8,2026-06-14
batch_38,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_101.pdf,10,2026-06-14
batch_39,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_102.pdf,10,2026-06-14
batch_40,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_103.pdf,8,2026-06-14
batch_41,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_104.pdf,10,2026-06-14
batch_42,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_105.pdf,10,2026-06-14
batch_43,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_106.pdf,10,2026-06-15
batch_44,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_107.pdf,9,2026-06-15
batch_45,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_109.pdf,9,2026-06-15
batch_46,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_110.pdf,10,2026-06-15
batch_47,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_111.pdf,9,2026-06-15
batch_48,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_112.pdf,2,2026-06-15
batch_49,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_113.pdf,6,2026-06-16
batch_50,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_114.pdf,7,2026-06-16
batch_51,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_115.pdf,8,2026-06-16
batch_52,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_116.pdf,10,2026-06-16
batch_53,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_117.pdf,10,2026-06-16
batch_54,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_118.pdf,9,2026-06-16
batch_55,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_119.pdf,9,2026-06-17
batch_56,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_120.pdf,9,2026-06-17
batch_57,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_121.pdf,9,2026-06-17
batch_58,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_122.pdf,8,2026-06-17
batch_59,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_123.pdf,8,2026-06-17
batch_60,S4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_124.pdf,7,2026-06-17
