batch,archivo_original,archivo_copiado,archivo_respuesta_clinica,sha256,casos_detectados,paginas_respuesta_clinica,fecha_revision_sugerida,archivo_respuesta_clinica_anotada,paginas_respuesta_clinica_anotada
batch_1,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_1.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_1.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_001_respuesta_clinica.pdf,4ca833209ba99eab97a3a3c4f2cbaa4eff2bacf0d76a729758667715837bb295,10,10,2026-05-25,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_001_respuesta_clinica_anotada.pdf,10
batch_2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_2.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_2.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_002_respuesta_clinica.pdf,215379b6ba108b143e9a3329ba6a4d7e8c366fd79b5c573768b73d4669c87cc1,10,10,2026-05-25,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_002_respuesta_clinica_anotada.pdf,10
batch_3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_3.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_3.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_003_respuesta_clinica.pdf,ed1c7d891864defe6d7af385060f181f29362928f64683e9639e2c70c5740448,10,10,2026-05-26,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_003_respuesta_clinica_anotada.pdf,10
batch_4,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_4.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_4.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_004_respuesta_clinica.pdf,93be1735621e0569bc33025941fcc005d733fef141bf882e4c3f8281f4e63e35,10,10,2026-05-26,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_004_respuesta_clinica_anotada.pdf,10
batch_5,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_5.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_5.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_005_respuesta_clinica.pdf,c36e53b7a06b4b1dfb3bcf590a516efb8a89182b1c500a10df66932f81324553,6,6,2026-05-27,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_005_respuesta_clinica_anotada.pdf,6
batch_6,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_6.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_6.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_006_respuesta_clinica.pdf,5ce3c26e225d0f3ecb8c27a325c3981dc51a3cf323ec932a1e4a16b22f504ccb,10,10,2026-05-27,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_006_respuesta_clinica_anotada.pdf,10
batch_7,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_7.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_7.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_007_respuesta_clinica.pdf,e4de5229033310462c9e22d2c8d46326117bd06050bb7695e6ea09e95ccbd55c,10,10,2026-05-27,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_007_respuesta_clinica_anotada.pdf,10
batch_8,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_8.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_8.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_008_respuesta_clinica.pdf,3f64613227b872b7d1840ac7dcb65c5cbcdfbe91f70979adcde31ca444e5e1e3,10,10,2026-05-28,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_008_respuesta_clinica_anotada.pdf,10
batch_9,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_9.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_9.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_009_respuesta_clinica.pdf,5195f40b05967663318b631f59deaad01d1a0a46508475485357385e7932b21f,10,10,2026-05-28,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_009_respuesta_clinica_anotada.pdf,10
batch_10,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_10.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_10.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_010_respuesta_clinica.pdf,a0cda9c176e81bfffec542e5e32b592e60c1229ec7dfd53e085385acb0f7f904,10,10,2026-05-28,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_010_respuesta_clinica_anotada.pdf,10
batch_11,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_11.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_11.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_011_respuesta_clinica.pdf,3396af9d426ebe2926eda70c3adf62d86dcb5785ca8112102e3de23393761cac,10,10,2026-05-29,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_011_respuesta_clinica_anotada.pdf,10
batch_12,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_12.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/batches_originales/batch_12.pdf,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica/batch_012_respuesta_clinica.pdf,2de9d5b1a00bda2ac2aa3ca15d55774d1eedd571b624666b4f4543272ff7ad88,10,10,2026-05-29,/home/edwinb/tesis/hemogramas-proyectoICC/validacion_clinica/respuesta_clinica_anotada/batch_012_respuesta_clinica_anotada.pdf,10
